rank,company_id,company_name,website,final_score,confidence,ready_to_send,contact_name,contact_title,contact_linkedin,contact_source,email_subject,email_preview,draft_file,review_warnings
11,blaxel-ai,Blaxel,https://blaxel.ai,100,medium,true,Paul Sinaï,CEO & Co-Founder,https://www.linkedin.com/in/paul-sinai,seed_team,Incident Response Efficiency Discussion,"Hi Paul, I'm reaching out to discuss Blaxel's platform for AI agents, particularly focusing on how efficient incident response is crucial for uptime and reliability. Given that your API documentati...",drafts/011_blaxel-ai.md,manual_review_required; no_seed_email
12,typeos-com,TypeOS,https://typeos.com,100,medium,true,Daniel Martinez,Founder,https://www.linkedin.com/in/danielmartinezdev,seed_team,Improve Incident Response with AI Insights,"Hi Daniel, I’m reaching out to discuss how TypeOS, as a B2B platform for small engineering teams, may enhance incident response processes in production-critical environments. Our AI-assisted tools ...",drafts/012_typeos-com.md,manual_review_required; no_seed_email
13,getden-io,Den,https://getden.io,100,medium,true,Linus Talacko,Founder,https://www.linkedin.com/in/linustalacko,seed_team,Exploring Task Automation Solutions for Engineering Teams,"Hi Linus, I noticed Den is focused on optimizing task automation for small engineering teams through AI-powered workflows. Your ability to integrate seamlessly with various business applications co...",drafts/013_getden-io.md,manual_review_required; no_seed_email
14,pgdog-dev,PgDog,https://pgdog.dev,100,medium,true,Lev Kokotov,Founder,https://linkedin.com/in/levkk,seed_team,Exploring PostgreSQL Scaling and Incident Management with PgDog,"Hi Lev, I noticed that PgDog is focused on enhancing PostgreSQL scalability and load balancing, which aligns with the needs of businesses managing growing database demands. Your approach to providi...",drafts/014_pgdog-dev.md,manual_review_required; no_seed_email
15,usekestrel-ai,Kestrel AI,https://usekestrel.ai,100,high,true,Raman Varma,Founder,https://www.linkedin.com/in/ramanvarma/,seed_team,Inquiry About Cloud Incident Management Solutions,"Hi Raman, I came across Kestrel AI and noticed your emphasis on AI-powered incident response for cloud services and Kubernetes management. Your platform's capabilities to automatically identify and...",drafts/015_usekestrel-ai.md,manual_review_required; no_seed_email
16,hyperspell-com,Hyperspell,https://hyperspell.com,100,medium,false,,,,persona_only,Exploring AI Memory Integration Challenges,"Hi, I am reaching out because Hyperspell specializes in enhancing the memory and context capabilities of AI agents, which aligns with trends in B2B applications where production reliability is cruc...",drafts/016_hyperspell-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
17,metorial-com,Metorial,https://metorial.com,100,medium,false,,,,persona_only,Exploring Integration Solutions for Incident Management,"Hello, Metorial provides a robust infrastructure for AI-native companies, enabling seamless integration and connection of tools for engineering teams. I noticed that your team might be dealing with...",drafts/017_metorial-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
18,s2-dev,s2.dev,https://s2.dev,100,medium,true,Shikhar Bhushan,Co-founder and CEO,https://linkedin.com/in/shikhrr,seed_team,Exploring RCA for Your Real-Time Data Streams,"Hi Shikhar, I came across S2.dev and your innovative approach to durable streaming APIs for real-time data applications. Given your focus on production-critical software, I believe there’s alignmen...",drafts/018_s2-dev.md,manual_review_required; no_seed_email
19,deeptrace-com,Deeptrace,https://deeptrace.com,100,medium,false,,,,persona_only,Exploring Incident Management Challenges,"Hello, At Deeptrace, we provide an AI-assisted incident root-cause analysis tool designed to empower small engineering teams like yours, particularly where SRE resources are limited. Our platform i...",drafts/019_deeptrace-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
20,unsiloed-ai,Unsiloed AI,https://www.unsiloed.ai,100,medium,false,,,,persona_only,Inquiry on Unstructured Data Processing Solutions,"Dear CTO or Head of Engineering, I’m reaching out regarding Unsiloed AI and its innovative API for parsing multimodal unstructured data. As organizations increasingly rely on efficient data process...",drafts/020_unsiloed-ai.md,no_seed_contact; no_seed_email; no_linkedin_url
21,bolna-ai,Bolna AI,https://bolna.ai,100,high,false,,,,persona_only,Exploring Multilingual Voice AI Solutions,"Hello, I am reaching out to discuss Bolna AI's voice AI platform, which provides a robust multilingual voice agent solution that can enhance your customer interactions. Our platform is designed to ...",drafts/021_bolna-ai.md,no_seed_contact; no_seed_email; no_linkedin_url
22,heylua-ai,Lua Global Inc,https://heylua.ai,100,medium,false,,,,persona_only,Streamlining Incident Management for Engineering Teams,"Hello, At Lua Global Inc, we focus on enabling the development of AI agents tailored for production-critical environments. Our platform is designed for small engineering teams that may need support...",drafts/022_heylua-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
23,videogen-io,VideoGen,https://videogen.io,100,medium,false,,,,persona_only,Exploring Video Production Scalability Challenges,"Hello, I came across VideoGen’s AI video generation platform, particularly its ability to automate video creation and editing through your API. Given its emphasis on efficient video production and ...",drafts/023_videogen-io.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
24,pinnacle-sh,Pinnacle,https://pinnacle.sh,100,medium,true,Sean Roades,Founder,https://www.linkedin.com/in/sr19943/,seed_team,Understanding Your Messaging Integration Challenges,"Hi Sean, I noticed that Pinnacle focuses on providing a messaging API for B2B applications, which is key for efficient communication within teams. Given the importance of integrating multiple messa...",drafts/024_pinnacle-sh.md,manual_review_required; no_seed_email
25,autumnlabs-io,Autumn Labs,https://www.autumnlabs.io,100,medium,false,,,,persona_only,Exploring Incident Response Challenges,"Hello, I’m reaching out to discuss the incident resolution processes your team utilizes for managing robotic stations at Autumn Labs. Given your focus on streamlining operations with a small produc...",drafts/025_autumnlabs-io.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
26,simplex-sh,Simplex,https://simplex.sh,100,medium,true,Shreya Karpoor,Founder,https://linkedin.com/in/shreya-karpoor,seed_team,Streamline Provider Enrollment Processes with Simplex API,"Hi Shreya, I came across Simplex and the API you offer for automating provider enrollment in healthcare. It appears particularly well-suited for improving workflows by enhancing automation and prov...",drafts/026_simplex-sh.md,manual_review_required; no_seed_email
27,decisional-com,Decisional AI,https://www.decisional.com,100,medium,false,,,,persona_only,Exploring Automation Solutions for Your Workflows,"Hello, At Decisional AI, we specialize in building AI agents designed to automate workflows for small production teams, particularly in B2B contexts. Our offerings are rooted in solid API documenta...",drafts/027_decisional-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
28,thundercompute-com,Thunder Compute,https://www.thundercompute.com,100,medium,false,,,,persona_only,Exploring Incident Response Strategies,"Hello, Thunder Compute has a strong foundation in providing cloud-based GPU resources tailored for developers and production-critical software teams. As you look to support your client base with fa...",drafts/028_thundercompute-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
29,voker-ai,Voker,https://voker.ai,100,medium,false,,,,persona_only,Exploring AI Analytics Challenges for Engineering Teams,"Hi, I’m reaching out to discuss the challenges many engineering teams face in deriving meaningful insights from AI agent interactions. As you might know, Voker’s AI analytics platform focuses on im...",drafts/029_voker-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
30,ledgerup-ai,LedgerUp,https://ledgerup.ai,100,medium,true,Bailey Spell,Founder,https://linkedin.com/in/bailey-spell-b487ab149,seed_team,Automating Billing Operations with AI,"Hi Bailey, I’m reaching out to discuss LedgerUp’s focus on automating complex billing and revenue operations with AI, especially within manufacturing and SaaS industries. Given the challenges of ma...",drafts/030_ledgerup-ai.md,manual_review_required; no_seed_email
31,prohost-ai,ProhostAI,https://www.prohost.ai,100,medium,true,Bill Ulammandakh,Founder,https://www.linkedin.com/in/bulam/,seed_team,Exploring Property Management Efficiency with ProhostAI,"Hi Bill, I'm reaching out to discuss how ProhostAI's property management software could help enhance your operations in the short-term rental market. Our solution addresses common challenges such a...",drafts/031_prohost-ai.md,manual_review_required; no_seed_email
32,educato-com,Educato,https://www.educato.com,100,high,true,Codrut Lemeni,Founder,https://linkedin.com/in/codrut-l-328331134,seed_team,Exploring Incident Response Strategies for Educato,"Hi Codrut, I’ve examined Educato and your focus on AI-driven learning is commendable. As your platform scales, managing incident response effectively becomes more complex. Emergent Delta specialize...",drafts/032_educato-com.md,manual_review_required; no_seed_email
33,firstwork-com,FirstWork,https://firstwork.com,100,medium,false,,,,persona_only,Exploring Synergies in Workforce Automation,"Hello, I came across FirstWork and your innovative approach to automating workforce operations, particularly in document verification and onboarding. Many companies in your space face challenges li...",drafts/033_firstwork-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
34,trymaven-com,Maven,https://trymaven.com,99,medium,true,Brandon Boehme,Founder,https://www.linkedin.com/in/brandon-boehme/,seed_team,Exploring Challenges in Payment Integration for Voice AI,"Hi Brandon, I noticed that Maven provides a payment infrastructure specifically designed for voice AI agents, focusing on critical production needs in B2B environments. With the complexities around...",drafts/034_trymaven-com.md,manual_review_required; no_seed_email
35,helonic-com,Helonic,https://helonic.com,99,medium,true,Milind Sagaram,Founder,https://www.linkedin.com/in/milind-sagaram,seed_team,Inquiry on Drawing Analysis and Coordination Practices,"Hi Milind, I came across Helonic, particularly your advancements in AI-powered construction drawing analysis. Your focus on improving on-call reliability and extensive API documentation stands out,...",drafts/035_helonic-com.md,manual_review_required; no_seed_email
36,substrate-cc,Substrate,https://www.substrate.cc,99,medium,true,Inderpal Singh,Founder,https://linkedin.com/in/inderpals,seed_team,Collaboration Opportunity to Enhance Revenue Cycle Automation,"Hi Inderpal, I've been examining Substrate's efforts in automating healthcare revenue cycle management, particularly your focus on claims and appeals automation. Given the technical depth of your A...",drafts/036_substrate-cc.md,manual_review_required; no_seed_email
37,ontora-com,Ontora,https://ontora.com,98,medium,true,Maximilian Arnold,Founder,https://www.linkedin.com/in/arnold-max/,seed_team,Exploring Operational Insights at Ontora,"Hi Maximilian, I’m reaching out as I noticed Ontora focuses on leveraging AI agents for capturing organizational knowledge, which can be crucial for teams examining their workflows. Given the chall...",drafts/037_ontora-com.md,manual_review_required; no_seed_email
38,promptingcompany-com,The Prompting Company,https://www.promptingcompany.com,98,high,false,,,,persona_only,Inquiry on Tracking AI Product Visibility,"Hello, I noticed that The Prompting Company specializes in enhancing product visibility through AI-driven platforms like ChatGPT. This aligns well with the emerging need for B2B teams, especially s...",drafts/038_promptingcompany-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
39,unsloth-ai,Unsloth AI,https://unsloth.ai,97,medium,true,Daniel Han,Founder,https://linkedin.com/in/danielhanchen,seed_team,How is your team handling root-cause analysis?,"Hi Daniel, I came across Unsloth AI and noticed your focus on providing a local model training platform accessible via API. Your solution seems particularly relevant for companies aiming to optimiz...",drafts/039_unsloth-ai.md,manual_review_required; no_seed_email
40,minicor-com,Minicor,https://minicor.com,96,medium,true,Saheed Akinbile,Co-founder & CTO,https://linkedin.com/in/saheed-akinbile,seed_team,Exploring Automation Challenges in Healthcare?,"Hi Saheed, I noticed that Minicor is focused on improving robotic process automation (RPA) in the healthcare sector. Given your commitment to scaling desktop automation solutions and the challenges...",drafts/040_minicor-com.md,manual_review_required; no_seed_email
41,pangolin-net,Pangolin,https://pangolin.net,96,high,true,Milo Schwartz,Founder,https://www.linkedin.com/in/miloaschwartz/,seed_team,Enhancing Remote Access Security with Zero Trust Architecture,"Hi Milo,\n\nI noticed that Pangolin focuses on zero-trust remote access, which is vital for enterprises facing increasing cybersecurity threats. Your identity-aware VPN solution aligns well with in...",drafts/041_pangolin-net.md,manual_review_required; no_seed_email
42,stagewise-io,stagewise,https://stagewise.io,96,high,false,,,,persona_only,Enhancing Incident RCA with Emergent Delta,"Hello, At Stagewise, we understand the complexities of incident root-cause analysis within your open-source environment. As your team navigates orchestration and code execution, the need for effici...",drafts/042_stagewise-io.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
43,fixture-app,Fixture,https://fixture.app,95,high,true,Matt Riley,Founder/CEO,https://www.linkedin.com/in/matthewriley/,seed_team,Understanding Your CRM Needs,"Hi Matt, I noticed that Fixture is designed with modern startups in mind, particularly with developer-oriented features such as robust APIs and automated data capture. These capabilities are benefi...",drafts/043_fixture-app.md,manual_review_required; no_seed_email
44,carrotlabs-ai,Carrot Labs,https://carrotlabs.ai,95,high,false,,,,persona_only,Exploring AI Agent Performance Optimization,"Hello, I’m reaching out because I noticed that Carrot Labs is focused on enhancing AI agents through continuous learning and optimization. Your emphasis on managing data drift and improving reliabi...",drafts/044_carrotlabs-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
45,incidentfox-ai,IncidentFox,https://incidentfox.ai,95,high,false,,,,persona_only,Exploring Incident Management Solutions for Small Teams,"Hello, I’m reaching out as I believe that IncidentFox could greatly benefit from the integration of Emergent Delta’s AI-assisted incident RCA solution. Our platform is designed specifically for sma...",drafts/045_incidentfox-ai.md,no_seed_contact; no_seed_email; no_linkedin_url
46,unisson-ai,Unisson,https://www.unisson.ai,95,high,true,Tom Achache,Founder/CTO,https://www.linkedin.com/in/tom-achache/,seed_team,Exploring AI Solutions for Incident Response,"Hi Tom, I noticed that Unisson prioritizes operational efficiency through AI agents that automate customer-facing tasks. This focus appears to align well with Emergent Delta's goal of improving inc...",drafts/046_unisson-ai.md,manual_review_required; no_seed_email
47,moda-dev,Moda,https://moda.dev,95,high,false,,,,persona_only,Exploring AI Observability Solutions for Enhanced Incident Management,"Hi, I noticed that Moda focuses on providing AI observability solutions tailored for B2B environments, particularly addressing challenges like agent and tool failures. You're likely aware of how cr...",drafts/047_moda-dev.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
48,usegrade-com,Grade,https://usegrade.com,95,high,true,Lotanna Ezeike,"CEO, Co-founder",https://linkedin.com/in/lottsnomad,seed_team,Exploring Grade's Payment API Challenges,"Hi Lotanna, At Emergent Delta, we specialize in providing AI-assisted incident root-cause analysis tailored for small engineering teams. Given Grade's focus on simplifying international payment com...",drafts/048_usegrade-com.md,no_seed_email
49,usechamber-io,Chamber,https://www.usechamber.io,95,high,false,,,,persona_only,Incident Response and GPU Optimization Inquiry,"Hello, I see that Chamber is focused on optimizing GPU infrastructure management for AI/ML, which aligns with our interests at Emergent Delta. Your AI-driven platform for autonomous workload monito...",drafts/049_usechamber-io.md,no_seed_contact; no_seed_email; no_linkedin_url
50,usekita-com,Kita,https://www.usekita.com,95,high,true,Carmel Limcaoco,Founder,https://www.linkedin.com/in/carmellimcaoco/,seed_team,Optimizing Incident Response for Your Credit Underwriting Operations,"Hi Carmel, As the founder of Kita, I’m sure you’re aware of the complexities involved in credit underwriting, particularly in managing fragmented borrower data and automating document verification ...",drafts/050_usekita-com.md,no_seed_email
51,agenticfabriq-com,Agentic Fabriq,https://www.agenticfabriq.com,95,high,false,,,,persona_only,Inquiry on AI Agent Governance,"Hello, I am reaching out to understand how Agentic Fabriq is managing the governance and security of AI agents within your organization. Given your focus on identity and permissioning solutions, I ...",drafts/051_agenticfabriq-com.md,no_seed_contact; no_seed_email; no_linkedin_url
52,archal-ai,Archal,https://www.archal.ai,95,high,false,,,,persona_only,Pre-Deployment Testing Insights for AI Agents,"Hi, I wanted to reach out regarding Archal's innovative platform that focuses on the pre-deployment evaluation of autonomous AI agents. Your team may benefit from detailed testing and tracing of ag...",drafts/052_archal-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
53,insforge-dev,InsForge,https://insforge.dev,95,high,false,,,,persona_only,Exploring Incident Response Challenges,"Hello, I hope this message finds you well. At InsForge, we recognize that many engineering teams face challenges with incident root cause analysis, especially in production-critical applications. O...",drafts/053_insforge-dev.md,no_seed_contact; no_seed_email; no_linkedin_url
54,silmaril-dev,Silmaril,https://silmaril.dev,95,high,true,Aum Upadhyay,Founder,https://www.linkedin.com/in/aum-u-517016269/,seed_team,Exploring AI Security Solutions,"Hi Aum, I came across Silmaril's innovative approach to AI-assisted prompt injection defense, particularly in production-critical environments. Your self-healing mechanisms could be a major advanta...",drafts/054_silmaril-dev.md,manual_review_required; no_seed_email
55,trellistech-com,Trellis,https://trellistech.com,95,high,false,,,,persona_only,Understanding Operational Challenges in Property Management,"Hello, I hope this message finds you well. I wanted to reach out to discuss the operational challenges faced in property management, especially concerning scaling and task coordination. Trellis off...",drafts/055_trellistech-com.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
56,interfaze-ai,Interfaze,https://interfaze.ai,95,high,true,Yoeven D Khemlani,Founder,https://linkedin.com/in/yoeven,seed_team,Exploring Incident Analysis Solutions for Engineering Teams,"Hi Yoeven, I noticed that Interfaze focuses on deterministic developer tasks crucial for small engineering teams, which positions you well in tackling incident root-cause analysis challenges. Many ...",drafts/056_interfaze-ai.md,manual_review_required; no_seed_email
57,tester-army,TesterArmy,https://tester.army,95,high,true,Oskar Kwaśniewski,Founder,https://www.linkedin.com/in/okwasniewski/,seed_team,Inquiry on Your Automated Testing Practices,"Hi Oskar, I'm reaching out to learn more about how TesterArmy leverages AI in your testing automation platform. Your focus on production-critical software and support for public API documentation a...",drafts/057_tester-army.md,manual_review_required; no_seed_email
58,primitive-dev,primitive,https://primitive.dev,95,high,true,Ethan Byrd,Founder,https://www.linkedin.com/in/etbyrd/,seed_team,Exploring Incident Response Solutions with Primitive,"Hi Ethan, I came across Primitive and noted your focus on providing email handling solutions tailored for operational integration in engineering systems. It's impressive how your platform automates...",drafts/058_primitive-dev.md,no_seed_email
59,datost-com,Datost,https://www.datost.com,95,high,true,Maceo Cardinale Kwik,Founder,https://www.linkedin.com/in/maceo-cardinale-kwik/,seed_team,Streamline Incident Management with Data Integration,"Hi Maceo, I’m reaching out to learn more about how Datost is leveraging data analytics within Slack for incident management. Given that Datost focuses on improving operational efficiency for small ...",drafts/059_datost-com.md,manual_review_required; no_seed_email
60,superglue-ai,superglue,https://superglue.ai,95,high,true,Adina Goerres,Founder,https://linkedin.com/in/adinagoerres,seed_team,Inquiry on Your Integration Challenges,"Hi Adina, I hope this message finds you well. I wanted to reach out regarding Superglue's AI-driven integration platform, which addresses common challenges faced by companies in establishing quick ...",drafts/060_superglue-ai.md,no_seed_email
